spotify_id,valence,danceability,energy,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,tempo,key,mode,instrumentalness,liveness,speechiness,acousticness,loudness
31fxWGyIjH668f51PuIf0f,0.913,0.593,0.823,3.0,2.5133333333333336,3.3233333333333337,3.433333333333333,91.931,10.0,1.0,0.00366,0.136,0.0254,0.184,-10.356
274aBYDVjhfk3Oy5n8SH4I,0.412,0.498,0.6709999999999999,5.0,3.5580000000000003,3.402,4.436,121.79,4.0,0.0,2.47e-05,0.473,0.3229999999999999,0.452,-13.017
24tc3OZ7YRdtQofd23niCE,0.968,0.6940000000000001,0.726,4.0,3.862,4.16,4.492,121.977,11.0,1.0,0.0,0.293,0.0427,0.322,-12.987
33mgEwbxVySU2JcQcvv7Gk,0.425,0.33,0.843,3.0,2.513333333333333,3.3233333333333337,3.433333333333333,179.93400000000003,0.0,1.0,2.62e-06,0.0721,0.0421,0.136,-10.151
54dT74d5zcfxvvkpu7uBr5,0.562,0.6629999999999999,0.526,5.0,3.818,3.886,4.212,74.683,4.0,0.0,0.0,0.147,0.0728,0.684,-11.265999999999998
2BZ5vVoMUcba1YxaqZSKGt,0.322,0.406,0.374,3.0,2.5133333333333336,3.3233333333333337,3.433333333333333,88.603,3.0,1.0,0.000734,0.0906,0.0378,0.388,-14.935
2WDOTjKmRuwiox2F3IQPse,0.387,0.579,0.765,8.0,5.3375,4.496250000000001,5.19,123.263,9.0,1.0,0.0343,0.0456,0.0497,0.0693,-7.995
7rgVqFvpb7njqF3ocTcMRP,0.81,0.536,0.5329999999999999,6.0,5.655714285714286,5.412857142857143,5.7942857142857145,117.675,2.0,1.0,0.0,0.7020000000000001,0.818,0.861,-12.045
1Iy4RmM9jzTNHPPPfFzyN3,0.455,0.526,0.627,4.0,3.36,3.445,4.2425,107.286,7.0,1.0,0.00085,0.1369999999999999,0.0316,0.21,-12.524
3bYXnwj8M5zaFWzvnxfx5b,0.551,0.61,0.772,1.0,4.24,5.19,5.35,143.018,10.0,1.0,0.00233,0.132,0.0311,0.302,-8.113
2YzXtcrAqOiFt4RZ9IaBxA,0.0725,0.26,0.194,5.0,2.7425,3.395,3.935,104.955,3.0,0.0,2.84e-06,0.114,0.0326,0.0959,-19.384
1sZD98rzZMoGV95Tl301E7,0.309,0.52,0.684,3.0,2.5133333333333336,3.3233333333333337,3.433333333333333,134.874,4.0,1.0,0.116,0.347,0.0421,0.395,-9.188
3SYdMGy40rbOMRPwIdauBP,0.394,0.555,0.346,3.0,6.07,5.233333333333334,6.14,129.224,2.0,1.0,0.0,0.802,0.899,0.917,-19.16
5KTuCzrLewl3PuqcHRHhpN,0.962,0.608,0.804,3.0,2.513333333333333,3.3233333333333333,3.433333333333333,131.523,7.0,1.0,0.00337,0.5820000000000001,0.0256,0.0832,-7.911
5NClwdEgL2qcKI00LRoj8k,0.949,0.542,0.7,4.0,2.8200000000000003,3.525,3.565,138.717,8.0,1.0,0.00404,0.0365,0.0427,0.0244,-12.438
3oEmNHgAxxxt9DjP5rN5wL,0.799,0.597,0.821,3.0,2.513333333333333,3.3233333333333333,3.433333333333333,114.942,4.0,0.0,0.00118,0.0547,0.0432,0.0284,-10.869000000000002
2b6hDhK6VNWZtS9JZ5dCJT,0.13,0.397,0.342,6.0,3.481666666666667,3.5416666666666665,4.383333333333334,118.172,8.0,0.0,0.00285,0.1,0.0316,0.6609999999999999,-9.935
6JmqK17UCpWoOzHtxqjRly,0.8859999999999999,0.67,0.473,3.0,1.898962962962963,2.510962962962964,2.594074074074074,77.918,9.0,1.0,0.152,0.0779,0.0357,0.6890000000000001,-14.961
32UnYo8f1x9kt61iBRKxtk,0.685,0.5,0.7090000000000001,4.0,2.7425,3.3950000000000005,3.935,99.321,1.0,1.0,5.5e-06,0.134,0.0776,0.106,-12.554
4kuxRQnF3wEm2BkM1XvRkD,0.327,0.871,0.298,4.0,3.4125,3.5050000000000003,3.770000000000001,109.67,4.0,0.0,8.23e-06,0.103,0.0547,0.0118,-15.41
07Y3YFoCGU2eSvXAeHhoas,0.201,0.485,0.155,3.0,2.513333333333333,3.3233333333333333,3.433333333333333,95.151,7.0,1.0,3.77e-06,0.1669999999999999,0.0433,0.852,-16.289
5rLFHRGB23R7hSSvEzJU6B,0.66,0.397,0.632,5.0,3.558,3.402,4.436,158.42,0.0,1.0,3.32e-06,0.6409999999999999,0.18,0.381,-12.649
7kyxWmCBLpEXAIwA14FXfH,0.457,0.5429999999999999,0.274,2.0,3.77,4.985,5.15,133.381,2.0,1.0,0.0,0.306,0.0355,0.843,-16.601
35NOJisAQc81kt3fEymKBn,0.627,0.542,0.295,2.0,3.613333333333333,4.916666666666667,5.083333333333333,72.676,11.0,1.0,0.000633,0.0599,0.0269,0.0166,-15.399
1Xmm3tubKm8YVePjgsOKEO,0.545,0.792,0.568,4.0,2.967128712871287,3.4652475247524754,4.426732673267327,111.729,4.0,0.0,0.0006349999999999,0.143,0.105,0.193,-9.373
