spotify_id,artist,name,popularity,release_date,genre,explicit,duration_ms,featured_artists
1a0PcmEJAOEp4ZT3YtSLkM,One Direction,Through the Dark,66,2013-11-25,pop,0,221733,[]
7DV1fLakiEgpJ1OuMQH4yb,Elvis Costello,Shipbuilding,45,1983,rock,0,292720,['Elvis Costello & The Attractions']
5z2LeGnH19PuaOuA2Ksmp6,Fall Out Boy,w.a.m.s.,44,2008-01-01,rock,0,278013,[]
5YOvPxr84u8fmxDXUVnzYC,Dave Matthews Band,Spoon,32,1998-04-28,rock,0,453021,[]
7HjNOz8Y7H7uSySXuHNg1Y,Breaking Benjamin,Ashes of Eden,63,2015-06-23,rock,0,293640,[]
4BEy9qPMYPBxtjV0NnTZB3,Neil Young,Razor Love,55,2000-04-25,rock,0,391160,[]
3qHa4w0urGR6CJebcWtFi6,Tracy Chapman,This Time,44,1989,singer-songwriter,0,224000,[]
0X7N5udP0MTvfsikLHfHrR,Scott Walker,Montague Terrace (In Blue),33,1967,singer-songwriter,0,207293,[]
1TKTiKp3zbNgrBH2IwSwIx,Pink Floyd,Us and Them,65,1973-03-01,progressive rock,0,469224,[]
2CXkN6UAb3jAFwz4VbsDq0,Neil Diamond,September Morn,60,1979-12-22,pop,0,232000,[]
0bMv24D8nZbBgjRdG2vcgE,REO Speedwagon,One Lonely Night,37,1988,classic rock,0,201507,[]
0YAMQSmHk6BSUGTYpaoqTJ,ONE OK ROCK,Wherever you are,61,2010-06-09,j-rock,0,295600,[]
31q2AsxMNpxHNENkWKG1j0,Gerard Way,Brother,55,2014-08-22,alternative,0,270547,[]
2W5UG7uGle3SlZiyzEGxls,Bobby Vinton,Sealed with a Kiss,53,1962,pop,0,168867,[]
0BVNdffyN675auioqP6Y81,Frank Sinatra,The Very Thought Of You,33,1962-11,jazz,0,212000,[]
61dATjRNYvm5oUjdTsR1u8,The Doors,Verdilac,28,1972-07-17,classic rock,0,347693,[]
0jvFqRqgbo1v7ETPW5X52M,Tom Waits,I Can't Wait To Get Off Work (And See My Baby On Montgomery Avenue),28,1976-09-21,singer-songwriter,0,197720,[]
1ydNrg5m64qFjNZA4rGx8m,John Denver,"Poems, Prayers and Promises",48,1971,country,0,246507,[]
2GanylJ8C1TuwEXyHcxIzR,Harry Nilsson,Without Her,34,1967-01-02,chamber pop,0,138160,[]
60iNCdO3iDf3YcMb63yPck,REO Speedwagon,Here with Me,45,1988,rock,0,304533,[]
256HFTAUJJ2x5YuSQNA9OH,Big Country,Chance,42,1983-07-15,rock,0,266760,[]
1ApsBaz9fpPptVZxgqtOy3,Roxy Music,Oh Yeah!,54,1980-06-01,rock,0,290827,[]
5KwYd278TmyAkLs686tsyw,Heart,Stranded,39,1990-03-25,rock,0,238827,[]
5g0QhEDLGS2yPxZ8z0XCHf,Townes Van Zandt,Only Him or Me,28,1971,folk,0,152013,[]
0xXhgLXfEHnWJHVgRvFvdn,Reik,Creo en Ti,72,2011-08-12,acoustic,0,163333,[]
32YVCuvm2iXGkNIDDmSX0j,Thomas Newman,The Letter That Never Came,47,2004-12-03,soundtrack,0,253960,[]
29bY7nEpgxmDjP6R4CamIx,Astrud Gilberto,Look To The Rainbow,33,1966-01-01,bossa nova,0,208147,[]
2wBblZ0wyRVjSVKQrNwSFx,Stephen Bishop,It Might Be You,42,2002-01-01,pop,0,253867,[]
3NLJWd1FgZlgBRukNXxEBd,Joan Sebastian,Sentimental,66,2002-12-17,sad,0,167515,[]
4vcCPWXgVk8B4xdgshk6cI,Whitney Houston,Where You Are,40,1987-06-02,soul,0,250267,[]
24dyM0M9Dn91tZZccXK3ig,The Psychedelic Furs,Forever Now,29,1982,new wave,0,335360,[]
3yHvxIDMCymCF0q0OruuDJ,John Lee Hooker,I Cover The Waterfront,34,1991-01-01,blues,0,404507,['Booker T. Jones']
1S8JnJpXtj4u5zFQp3klC2,Billy Joel,I Don't Want to Be Alone,37,1980-03-12,classic rock,0,237400,[]
2nu1OmQ52ZXV6nqBN5UQp5,Bette Midler,I Think It's Going to Rain Today,37,1988,pop,0,211133,[]
0u1mi4pYlXkx0rxgCbtyqv,Dolly Parton,Old Flames Can't Hold a Candle to You,41,1980-04-14,country,0,203027,[]
